Housing_Id,parking,bedrooms,bathrooms,full_bathrooms,total_interior_livable_area
1,"Detached Carport, Garage",3,2,2,872.0
2,0 spaces,2,3,1,1152.0
3,"Detached Carport, Driveway, Garage - Two Door",5,3,3,2612.0
5,Carport,3,2,2,1311.0
7,"Carport, Garage - Attached, Covered",3,2,2,2519.0
8,"Attached, Enclosed, Garage Door Opener, Interior Access, Independent, On Site",4,3,3,1601.0
9,"Garage, Garage - Attached",0,2,2,2123.0
10,"Garage, Garage - Attached, Covered",4,2,2,1579.0
11,"Garage, Garage - Attached, Covered",3,2,2,1393.0
12,"Attached, Garage Door Opener, Interior Access, On Site (Single Family Only)",6,3,3,3351.0
13,Driveway,3,2,2,1292.0
14,"Garage - Attached, Garage - Detached",2,2,2,1272.0
15,"Side By Side, Side by Side, On Site - Mapped (Condo Only)",2,2,2,5774.587090597377
17,"Garage, Garage - Detached, Covered",2,2,2,1078.0
18,"Garage, Garage - Attached",3,2,2,2100.0
19,"Gated, Parking Space",2,1,1,634.0
20,"Driveway, Concrete, Garage, Garage Faces Front",3,3,2,1612.0
21,"Independent, On Site (Single Family Only), Driveway",2,1,1,1293.0
22,Garage - Detached,3,2,2,1644.0
23,"Garage, Garage - Attached",3,2,2,1350.0
24,Driveway,3,2,2,1487.0
25,"Garage, Garage - Attached, Covered",3,2,2,1105.0
26,"Garage, Garage - Detached, Off-street, Covered",5,3,3,1910.0
28,"Driveway, Garage",5,6,5,6167.0
29,"Carport, Garage - Attached",2,2,2,1127.0
30,Garage - Attached,3,2,1,1220.0
31,"Garage, Garage - Attached, Covered",4,2,2,1723.0
33,"Driveway, Garage - Two Door",4,2,2,2783.0
34,"Detached Carport, Garage - Two Door",2,1,1,1520.0
35,Garage - Two Door,3,2,2,1440.0
36,"Assigned, Controlled Entrance, Garage, Gated, Guest, Side By Side, Underground",2,3,2,1600.0
37,Garage,2,1,1,840.0
38,None,0,1,1,5774.587090597377
40,Garage - Attached,3,2,2,1235.0
41,Garage,1,1,1,830.0
42,"Garage, Garage - Attached, Covered",4,3,2,3500.0
43,Driveway,3,4,3,2348.0
44,Garage - Attached,3,2,2,1621.0
45,"Garage, Covered",3,2,1,1127.0
46,"Garage, Garage - Attached, Covered",3,0,2,1604.0
49,Garage - Attached,5,5,4,3120.0
50,"Auto Driveway Gate, Driveway, Concrete, Gated",3,1,1,1599.0
52,"Assigned, Built-In Storage, Community Structure, Controlled Entrance, Underground",1,1,1,724.0
53,"Garage, Garage - Attached, Covered",4,3,2,1700.0
54,"Garage, Garage - Attached, Covered",3,1,1,913.0
55,"Garage Door Opener, Attached",4,3,2,2248.0
56,"Garage Door Opener, Independent, On Site",3,2,2,1630.0
