Housing_Id,tax_assesses_value,annual_tax_amount,listed_price,last_sold_price,sold_price
1,505000.0,6253.0,525000,328000.0,505000
2,49627.0,468.0,180000,807853.7111515519,140000
3,1775000.0,20787.0,1895000,1500000.0,1775000
5,208080.0,2531.0,224900,200000.0,221000
7,786311.7560919907,9956.843817385054,499000,807853.7111515519,480000
8,1087088.0,13793.0,1650000,807853.7111515519,1590000
9,167767.0,1909.0,1050000,807853.7111515519,1275000
10,71347.0,904.0,1428000,807853.7111515519,1310000
11,679900.0,9272.0,849000,807853.7111515519,810000
12,2080800.0,25099.0,2250000,2000000.0,2100000
13,464100.0,5734.0,565000,455000.0,565000
14,148571.0,1586.0,187500,110000.0,185000
15,1259700.0,15970.0,1154500,1235000.0,1155500
17,253149.0,3125.0,888000,807853.7111515519,900000
18,1836000.0,21521.0,2390000,1800000.0,2290000
19,167774.0,3416.0,430000,180000.0,415000
20,348000.0,7418.0,320000,807853.7111515519,335000
21,1380000.0,17314.0,1288000,807853.7111515519,1380000
22,202221.0,2093.0,386000,807853.7111515519,360000
23,442672.0,6434.0,1499000,294000.0,1600000
24,786311.7560919907,9956.843817385054,1249000,807853.7111515519,1200000
25,574244.0,8230.0,938000,500000.0,945000
26,974854.0,13610.0,1098000,807853.7111515519,1350000
28,3762702.0,45281.0,13900000,807853.7111515519,11200000
29,923100.0,11150.0,925000,882500.0,975000
30,215535.0,3069.0,410000,807853.7111515519,430000
31,1000000.0,12957.0,1115000,807853.7111515519,910000
33,351909.0,4443.0,1995000,4200.0,1745000
34,488446.0,6765.0,1785000,807853.7111515519,1605000
35,176963.0,2328.0,685000,807853.7111515519,640750
36,753456.0,9196.0,968000,807853.7111515519,895000
37,322000.0,4530.0,399900,322000.0,430000
38,786311.7560919907,9956.843817385054,629000,420000.0,652000
40,525000.0,9149.0,525000,250000.0,525000
41,703578.0,9187.0,639000,650000.0,675000
42,1634260.0,18558.0,1850000,1540000.0,1900000
43,1775961.0,21379.0,3350000,807853.7111515519,2900000
44,434494.0,6140.0,998000,807853.7111515519,940000
45,939286.0,11564.0,1125000,807853.7111515519,1200000
46,1001698.0,12599.0,1549000,800000.0,1475000
