Housing_Id,Housing_type,City,Zip,H_State,Listed_on,Year_built
1,SingleFamily,Los Angeles,90047,CA,2019-10-16,1926
2,SingleFamily,Strawberry,95375,CA,2019-08-25,1958
3,SingleFamily,Culver City,90230,CA,2019-10-24,1947
5,SingleFamily,Stockton,95202,CA,2019-10-30,1905
7,SingleFamily,Taylorsville,95983,CA,2019-10-18,2005
8,Condo,San Francisco,94121,CA,2019-07-18,2001
9,SingleFamily,Aptos,95003,CA,2019-10-28,1973
10,SingleFamily,Santa Clara,95050,CA,2019-09-20,1953
11,Townhouse,San Jose,95128,CA,2019-09-05,2002
12,SingleFamily,San Francisco,94116,CA,2019-10-04,1926
13,SingleFamily,Los Angeles,90047,CA,2019-11-06,1923
14,SingleFamily,Snelling,95369,CA,2019-11-27,1947
15,Condo,San Francisco,94107,CA,2019-11-21,2001
17,Apartment,Sunnyvale,94085,CA,2019-11-12,1986
18,SingleFamily,San Mateo,94402,CA,2019-06-14,1939
19,SingleFamily,Compton,90220,CA,2019-09-07,1949
20,Condo,Compton,90220,CA,2019-11-06,1988
21,SingleFamily,San Francisco,94122,CA,2019-11-16,1922
22,SingleFamily,Carlotta,95528,CA,2019-09-09,1920
23,SingleFamily,San Carlos,94070,CA,2019-11-07,1952
24,SingleFamily,Los Angeles,90019,CA,2019-11-04,1938
25,SingleFamily,San Jose,95124,CA,2019-11-18,1956
26,SingleFamily,San Jose,95133,CA,2019-10-24,1977
28,SingleFamily,Beverly Hills,90210,CA,2019-04-12,2018
29,SingleFamily,Capitola,95010,CA,2017-07-28,1970
30,SingleFamily,Los Angeles,90002,CA,2019-11-22,1957
31,SingleFamily,San Jose,95118,CA,2019-10-01,2003
33,SingleFamily,Los Angeles,90066,CA,2019-10-02,1941
34,SingleFamily,Culver City,90232,CA,2019-08-27,1928
35,SingleFamily,Los Angeles,90008,CA,2019-10-23,1936
36,Condo,Los Angeles,90046,CA,2019-10-11,1991
37,SingleFamily,Los Angeles,90001,CA,2019-11-07,1929
38,SingleFamily,San Francisco,94109,CA,2019-10-19,1949
40,SingleFamily,Compton,90220,CA,2019-11-30,1949
41,Condo,San Francisco,94131,CA,2019-10-30,1972
42,SingleFamily,San Mateo,94404,CA,2019-11-18,1965
43,SingleFamily,Beverly Hills,90210,CA,2019-07-18,1933
44,Condo,San Mateo,94401,CA,2019-10-18,1964
45,SingleFamily,Los Angeles,90019,CA,2018-11-26,1938
46,Unknown,San Jose,95128,CA,2019-09-13,1949
49,SingleFamily,Santa Cruz,95065,CA,2019-09-07,2018
50,SingleFamily,Los Angeles,90036,CA,2019-11-09,1924
52,Condo,Los Angeles,90020,CA,2019-08-05,1965
53,Townhouse,San Jose,95126,CA,2019-11-05,2005
54,SingleFamily,Sunnyvale,94087,CA,2019-11-20,1949
55,SingleFamily,Cupertino,95014,CA,2019-08-19,1972
56,Condo,San Francisco,94118,CA,2019-09-13,0
57,SingleFamily,Los Angeles,90049,CA,2019-08-08,2019
58,Apartment,San Francisco,94107,CA,2016-06-25,2009
59,SingleFamily,Aptos,95003,CA,2019-09-26,1966
61,MobileManufactured,Watsonville,95076,CA,2019-10-23,1975
63,SingleFamily,San Jose,95127,CA,2015-03-04,1960
64,SingleFamily,San Bruno,94066,CA,2019-11-18,1955
65,SingleFamily,Los Angeles,90066,CA,2019-09-14,1941
66,SingleFamily,Prather,93651,CA,2019-06-06,1998
67,Condo,San Francisco,94103,CA,2019-12-02,2001
68,SingleFamily,Culver City,90230,CA,2015-10-26,1948
69,Condo,Los Angeles,90067,CA,2019-09-10,1964
70,SingleFamily,San Jose,95148,CA,2019-07-12,1966
71,Condo,San Francisco,94105,CA,2019-09-20,2015
72,SingleFamily,Watsonville,95076,CA,2019-10-13,1950
73,SingleFamily,Los Angeles,90022,CA,2019-11-20,1942
75,SingleFamily,Los Angeles,90066,CA,2019-10-03,1953
76,SingleFamily,San Jose,95139,CA,2019-11-12,1977
77,SingleFamily,Redwood City,94062,CA,2019-11-19,1927
