Housing_Id,elementary_school_score,elementary_school_distance,middle_school_score,middle_school_distance,high_school_score,high_school_disctance
1,3,0.8,2,1.1,2,1.3
2,5,1.1524111764292648,5,1.6915926468195905,6,10.1
3,9,0.2,7,0.2,8,0.2
5,5,1.1524111764292648,5,1.6915926468195905,2,3.3
7,4,6.3,5,1.6915926468195905,2,6.3
8,8,0.3,8,0.3,7,0.5
9,6,0.6,5,1.6915926468195905,7,1.5
10,7,0.4,5,0.9,6,1.9
11,4,0.6,4,1.0,5,0.2
12,8,0.3,7,0.5,7,0.4
13,2,0.1,2,1.6,6,2.4103657099769076
14,4,0.3,5,1.6915926468195905,5,13.8
15,5,1.1524111764292648,5,1.6915926468195905,2,0.2
17,4,0.8,3,0.3,7,2.7
18,6,0.4,6,1.0,8,0.5
19,7,0.2,5,1.6915926468195905,3,1.3
20,4,0.8,5,1.6915926468195905,3,0.3
21,8,0.3,5,1.6915926468195905,3,0.5
22,6,0.3,5,1.6915926468195905,2,7.7
23,9,0.2,9,0.4,6,1.7
24,4,0.5,5,1.6915926468195905,7,1.9
25,5,1.1524111764292648,7,1.1,8,1.0
26,8,0.5,5,1.9,6,0.7
28,8,1.2,5,1.6915926468195905,9,2.4
29,7,1.2,6,0.4,7,2.7
30,4,7.8,3,0.4,6,2.4103657099769076
31,4,0.4,5,0.3,7,0.5
33,6,0.3,2,1.0,6,0.6
34,6,0.5,7,0.6,8,0.7
35,2,0.1,2,0.4,6,2.4103657099769076
36,7,0.3,3,1.1,7,0.9
37,5,0.2,1,0.4,6,2.4103657099769076
38,6,0.2,6,0.7,8,0.8
40,5,0.3,5,1.6915926468195905,3,1.2
41,6,0.5,5,1.6915926468195905,6,2.4103657099769076
42,6,0.4,7,1.1,7,4.3
43,8,0.3,5,1.6915926468195905,9,1.4
44,4,0.7,6,1.4,7,0.5
45,4,0.6,5,1.6915926468195905,6,1.7
46,4,1.0,3,1.0,5,1.0
49,6,0.8,6,4.0,7,1.3
50,5,0.5,5,1.6915926468195905,7,1.4
52,6,0.5,7,1.5,4,1.5
53,4,1.3,3,1.2,5,1.2
54,5,0.3,8,1.6,7,0.2
55,8,0.4,9,0.1,10,0.5
56,8,0.5,9,0.3,7,0.8
57,5,1.1524111764292648,7,1.8,6,0.5
58,5,1.1524111764292648,5,1.6915926468195905,2,0.6
59,8,1.2,5,1.6915926468195905,7,2.2
61,3,0.5,2,0.8,3,2.0
63,4,0.3,3,0.2,4,1.1
64,4,0.1,5,1.6915926468195905,6,2.5
65,6,0.2,2,0.6,6,1.0
66,6,4.0,5,1.6915926468195905,6,6.5
67,5,1.3,3,2.4,6,2.4103657099769076
68,6,0.5,7,1.0,8,0.9
69,9,1.4,5,1.6915926468195905,6,3.3
70,5,0.2,7,0.9,9,1.2
71,5,1.8,3,3.5,2,1.0
72,6,3.3,5,1.6915926468195905,7,2.4
73,4,0.3,5,1.6915926468195905,5,1.3
75,6,2.0,7,2.2,8,2.1
76,5,0.3,5,0.4,7,7.5
77,6,0.2,5,0.8,6,0.8
78,8,0.1,8,0.9,7,0.9
79,8,0.8,8,3.5,6,2.4103657099769076
80,4,0.4,3,0.3,6,1.3
81,7,0.7,6,1.2,7,0.2
82,6,0.3,3,0.8,7,3.0
83,4,0.3,6,2.0,7,0.7
84,7,0.4,9,1.6,8,0.9
85,5,1.4,3,3.0,2,0.4
86,6,0.8,9,2.1,9,2.0
87,6,0.3,5,1.6915926468195905,7,0.7
89,6,0.6,5,1.6915926468195905,6,2.4103657099769076
90,7,0.5,5,1.6915926468195905,7,0.9
91,7,0.3,6,3.2,7,1.1
96,4,0.8,4,0.9,6,1.0
97,7,0.7,3,0.3,3,0.8
101,4,0.5,5,3.2,6,4.0
102,4,1.1,5,1.6915926468195905,4,17.2
103,4,0.1,1,0.9,6,2.4103657099769076
106,3,0.1,5,1.6915926468195905,2,2.2
107,9,1.0,5,1.6915926468195905,6,4.2
108,4,0.8,2,1.0,3,2.0
109,7,0.5,6,0.3,8,0.8
110,5,1.1524111764292648,6,1.9,3,1.6
112,4,0.2,1,1.1,6,2.4103657099769076
113,4,0.6,3,0.6,7,3.2
114,9,0.2,8,0.2,8,0.7
115,3,0.4,3,1.0,4,0.5
116,3,0.1,5,0.7,4,1.3
118,9,0.6,3,2.5,7,1.2
119,5,1.5,4,1.1,7,0.9
120,8,0.5,5,0.5,8,0.6
121,6,0.2,7,0.4,8,1.8
122,9,0.2,5,1.6915926468195905,7,0.8
123,4,0.4,5,1.6915926468195905,5,0.6
124,9,0.2,5,1.6915926468195905,6,1.8
126,5,0.5,5,1.6915926468195905,4,1.4
127,5,2.0,5,1.6915926468195905,4,2.0
128,8,0.8,9,1.2,9,1.7
131,6,0.1,6,0.9,8,1.7
132,4,0.3,5,1.6915926468195905,6,6.4
135,5,1.1524111764292648,6,1.2,6,2.4103657099769076
136,9,0.1,7,0.5,8,0.7
137,7,0.5,6,0.6,8,1.5
138,6,0.4,2,0.3,6,1.2
139,9,1.8,7,1.5,6,0.8
141,8,0.4,5,2.0,6,0.8
142,2,0.8,2,2.2,6,2.4103657099769076
145,6,0.1,7,0.5,8,2.0
146,1,1.8,5,1.6915926468195905,2,6.4
147,6,0.9,3,1.6,6,1.9
148,5,1.1524111764292648,3,1.4,3,1.2
149,5,1.1524111764292648,7,1.1,8,3.4
150,2,0.6,7,1.2,7,1.8
153,8,1.0,8,0.8,7,1.5
154,3,0.1,5,0.7,4,1.3
155,7,1.4,3,2.6,7,2.2
156,7,0.3,6,0.6,8,1.9
157,9,1.1,5,1.6915926468195905,6,1.5
158,9,0.3,3,3.2,7,1.9
164,4,0.5,4,0.8,2,0.4
165,6,0.5,5,1.6915926468195905,6,3.4
166,5,0.2,7,2.0,6,0.3
167,7,0.3,6,3.2,6,0.4
168,3,0.6,6,1.2,7,1.7
169,6,1.0,3,1.1,6,2.2
170,2,0.5,5,1.6915926468195905,3,0.7
171,5,0.2,3,0.4,3,1.2
172,5,0.3,5,1.6915926468195905,7,0.8
173,6,0.4,3,1.5,6,0.8
174,6,0.1,5,1.6,4,2.4
175,9,0.4,6,1.0,2,0.9
176,5,0.3,6,0.2,3,0.3
177,4,0.2,5,1.6915926468195905,5,1.3
178,4,0.4,4,0.4,7,0.4
179,5,0.3,5,1.6915926468195905,4,1.0
181,8,0.9,5,1.6915926468195905,6,4.3
182,3,0.1,5,0.7,4,1.3
183,5,0.3,5,1.6915926468195905,6,2.4103657099769076
184,5,1.1524111764292648,6,1.8,3,1.8
185,4,9.5,5,1.6915926468195905,6,14.7
186,3,0.6,3,1.3,4,0.6
187,6,0.7,2,0.8,6,2.4103657099769076
188,7,0.5,5,1.6915926468195905,5,0.2
189,2,0.6,5,1.6915926468195905,7,1.6
190,8,11.3,2,11.0,5,10.4
191,7,2.6,5,1.6915926468195905,4,3.8
192,6,1.3,5,1.6915926468195905,7,0.8
193,9,0.8,9,6.9,10,0.6
194,2,0.4,5,0.7,4,1.1
195,4,0.4,4,1.3,3,0.3
196,8,0.9,7,1.8,8,1.9
197,7,0.3,6,3.2,6,0.4
198,7,0.2,6,0.8,5,1.3
200,5,0.5,2,1.4,2,0.9
201,9,0.4,8,0.5,7,1.1
202,7,0.5,3,0.1,3,1.0
203,8,1.2,8,1.3,10,1.4
205,2,0.3,5,0.7,4,1.8
