Housing_Id,heating_features,cooling_features
1,Combination,"Wall/Window Unit(s), Evaporative Cooling, See Remarks"
2,Forced air,Missing
3,Central,Central Air
5,Wall Furnace,Window Unit(s)
7,"Forced air, Propane / Butane, Solar",Other
8,Missing,Missing
9,"Gas, Heating - 2+ Zones, Wall Furnace, Central Forced Air, Common",None
10,Forced Air,Central AC
11,Central Forced Air,Central AC
12,Missing,Missing
13,Wall Furnace,Evaporative Cooling
14,"Propane, Electric, Wall Furnace, Wood Stove","Window Unit(s), Ceiling Fan(s)"
15,Missing,Missing
17,Forced air,Other
18,Central Forced Air - Gas,Central AC
19,Central,None
20,Central,Central Air
21,Gas,Missing
22,"Woodstove, Wall",Missing
23,Central Forced Air - Gas,Central AC
24,Central,Central Air
25,Central Forced Air,None
26,"Forced air, Gas","Refrigerator, Central"
28,Central,Central Air
29,Other,Ceiling Fan
30,Missing,Wall/Window Unit(s)
31,Forced Air,Central AC
33,Missing,None
34,Floor Furnace,None
35,Forced Air,Missing
36,"Fireplace(s), Forced Air","Central Air, Dual"
37,Missing,None
38,Electric,Missing
40,Missing,Central Air
41,"Gas, Wall Furnace",None
42,"Forced air, Gas",Missing
43,Central,Central Air
44,Forced Air,None
45,Forced air,Central
46,Central Forced Air,Central AC
49,"Heating - 2+ Zones, Fireplace, Individual Room Controls",Other
50,Central,Central Air
52,Central,Central Air
53,"Forced air, Electric",Central
54,Forced Air,None
55,Gravity,"Ceiling Fan(s), Whole House Fan"
56,Electric,Missing
57,Central,"Central Air, Dual, Heat Pump"
58,Missing,Missing
59,"Natural Gas, Forced Air",None
61,Gas,Ceiling Fan
63,"Other, Gas",Central
64,Central Forced Air - Gas,Central
65,Central,Missing
66,Forced air,Central
67,Electric,Missing
68,"Other, Gas",Central
69,Central,Central Air
70,Central Forced Air,None
71,Missing,Missing
72,Central Forced Air,None
73,Missing,None
75,Missing,Missing
76,Central Forced Air,None
77,Gas,Central
78,"Forced air, Gas",Central
79,Gravity,No Air Conditioning
80,None,Missing
81,"Forced air, Gas",Central
82,Central,Central Air
83,"Electric, Baseboard",None
84,"Forced air, Electric","Central, Wall"
85,Baseboard,Missing
86,Forced Air,Central Air
87,"Forced Air, Natural Gas",Central Air
89,Missing,Missing
90,Missing,Missing
91,Central Forced Air,None
96,Central,Central Air
97,Missing,Missing
101,Central Forced Air,Central AC
102,Central Forced Air - Gas,Central AC
103,Missing,None
106,Missing,None
107,Missing,Central Air
108,Forced air,None
109,Gas,Missing
110,Wall,None
112,Missing,None
113,"Forced air, Gas",Other
114,"Natural Gas, Central","Electric, Wall/Window Unit(s)"
115,Central Forced Air,Central AC
116,Wall,Wall
118,Central,Central Air
119,Central Forced Air,None
120,Missing,Missing
121,Central Forced Air,Central AC
122,Central,Missing
123,Missing,None
124,Central,Central Air
126,"Forced air, Gas",Other
127,"Forced air, Gas",Central
128,Radiant Floor,Ceiling Fan(s)
131,Central,Central
132,"Electric, Fireplace",None
135,Steam,Missing
136,Zoned,Zoned
137,Central Forced Air,Central AC
138,Central,Central Air
139,Central,Central Air
141,Central Forced Air,Ceiling Fan
142,Wall Furnace,None
145,Central Forced Air,None
146,Woodstove,Missing
147,Central,Central Air
148,Central,Central Air
149,Central,Central Air
150,Central,Central Air
153,Floor Furnace,None
154,Central,Central
155,Central,Central Air
156,"Forced air, Gas",None
157,Forced Air,None
158,Central,Central Air
164,Central,Central Air
165,"Central Forced Air, Gas",Window / Wall Unit
166,Missing,Missing
167,Central Forced Air,None
168,"Forced air, Gas",None
169,Floor Furnace,Missing
170,Central,Missing
171,Wall Furnace,"None, See Remarks"
172,"Central, Natural Gas, ENERGY STAR Qualified Equipment","Central Air, Electric, ENERGY STAR Qualified Equipment"
173,Central,Central Air
174,Wall Furnace,None
175,Missing,Missing
176,Central,Central Air
177,"Forced air, Gas",Central
178,Central Forced Air,Central AC
179,Forced air,Other
181,Missing,Missing
182,Other,Other
183,Central,Central Air
184,Missing,Wall/Window Unit(s)
185,"FAG, Gas Log",Ceiling Fans
186,"Gas, Space Heater",None
187,Missing,Central Air
